Date,Strain,Species,Genotype,Group,Len_1,Len_2,H2O2,Dilutions,Count,MO/MM,PO/PM,Experimenter
d072922,yH001,Cg,wt,MM,45min,2hr,Mock,1000,587,1,,JL
d072922,yH001,Cg,wt,MO,45min,2hr,20mM,1000,128,0.2180579216,,JL
d072922,yH001,Cg,wt,MO,45min,2hr,40mM,1000,93,0.1584327087,,JL
d072922,yH001,Cg,wt,MO,45min,2hr,60mM,1000,51,0.08688245315,,JL
d072922,yH001,Cg,wt,MO,45min,2hr,80mM,1000,26,0.04429301533,,JL
d072922,yH001,Cg,wt,MO,45min,2hr,100mM,1000,10,0.01703577513,,JL
d072922,yH001,Cg,wt,PM,45min,2hr,Mock,1000,415,,1,JL
d072922,yH001,Cg,wt,PO,45min,2hr,20mM,1000,153,,0.3686746988,JL
d072922,yH001,Cg,wt,PO,45min,2hr,40mM,1000,135,,0.3253012048,JL
d072922,yH001,Cg,wt,PO,45min,2hr,60mM,1000,130,,0.313253012,JL
d072922,yH001,Cg,wt,PO,45min,2hr,80mM,1000,92,,0.221686747,JL
d072922,yH001,Cg,wt,PO,45min,2hr,100mM,1000,55,,0.1325301205,JL
d072922,yH154,Sc,wt,MM,45min,2hr,Mock,1000,291,1,,JL
d072922,yH154,Sc,wt,MO,45min,2hr,2mM,1000,27,0.09278350515,,JL
d072922,yH154,Sc,wt,MO,45min,2hr,4mM,1000,20,0.06872852234,,JL
d072922,yH154,Sc,wt,MO,45min,2hr,6mM,1000,18,0.0618556701,,JL
d072922,yH154,Sc,wt,MO,45min,2hr,8mM,1000,6,0.0206185567,,JL
d072922,yH154,Sc,wt,MO,45min,2hr,10mM,1000,2,0.006872852234,,JL
d072922,yH154,Sc,wt,PM,45min,2hr,Mock,1000,271,,1,JL
d072922,yH154,Sc,wt,PO,45min,2hr,2mM,1000,33,,0.1217712177,JL
d072922,yH154,Sc,wt,PO,45min,2hr,4mM,1000,17,,0.06273062731,JL
d072922,yH154,Sc,wt,PO,45min,2hr,6mM,1000,14,,0.05166051661,JL
d072922,yH154,Sc,wt,PO,45min,2hr,8mM,1000,15,,0.05535055351,JL
d072922,yH154,Sc,wt,PO,45min,2hr,10mM,1000,7,,0.0258302583,JL
d080122,yH001,Cg,wt,MM,45min,2hr,Mock,1000,556,1,,JL
d080122,yH001,Cg,wt,MO,45min,2hr,20mM,1000,147,0.2643884892,,JL
d080122,yH001,Cg,wt,MO,45min,2hr,40mM,1000,129,0.2320143885,,JL
d080122,yH001,Cg,wt,MO,45min,2hr,60mM,1000,71,0.1276978417,,JL
d080122,yH001,Cg,wt,MO,45min,2hr,80mM,1000,26,0.04676258993,,JL
d080122,yH001,Cg,wt,MO,45min,2hr,100mM,1000,7,0.01258992806,,JL
d080122,yH001,Cg,wt,PM,45min,2hr,Mock,1000,460,,1,JL
d080122,yH001,Cg,wt,PO,45min,2hr,20mM,1000,176,,0.3826086957,JL
d080122,yH001,Cg,wt,PO,45min,2hr,40mM,1000,170,,0.3695652174,JL
d080122,yH001,Cg,wt,PO,45min,2hr,60mM,1000,164,,0.3565217391,JL
d080122,yH001,Cg,wt,PO,45min,2hr,80mM,1000,117,,0.2543478261,JL
d080122,yH001,Cg,wt,PO,45min,2hr,100mM,1000,78,,0.1695652174,JL
d080122,yH154,Sc,wt,MM,45min,2hr,Mock,1000,317,1,,JL
d080122,yH154,Sc,wt,MO,45min,2hr,2mM,1000,16,0.05047318612,,JL
d080122,yH154,Sc,wt,MO,45min,2hr,4mM,1000,15,0.04731861199,,JL
d080122,yH154,Sc,wt,MO,45min,2hr,6mM,1000,9,0.02839116719,,JL
